Price,Capital Gains,Capital Gains,Capital Gains,Capital Gains,Capital Gains,Capital Gains,Capital Gains,Close,Close,Close,Close,Close,Close,Close,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-03,0.0,,0.0,,0.0,,,24.17159652709961,,18.298276901245117,,18.197664260864258,,,0.0,,0.0,,0.0,,,25.00378229573214,,18.338809701390673,,20.59431932001992,,,23.92509437519095,,18.257744101099565,,18.17106654781589,,,24.84135795925833,,18.32079474177018,,18.72297090540281,,,0.0,,0.0,,0.0,,,21800,,1800,,12900,,
2020-03-04,0.0,,0.0,,0.0,,,24.63115882873535,,18.32979393005371,,18.956653594970703,,,0.0,,0.0,,0.0,,,24.717148277686416,,18.374829590731842,,18.956653594970703,,,24.506951036983416,,18.32979393005371,,18.494991183014456,,,24.717148277686416,,18.36582211499615,,18.523489511445955,,,0.0,,0.0,,0.0,,,13300,,9900,,62600,,
2020-03-05,0.0,,0.0,,0.0,,,24.373191833496094,,18.355913162231445,,18.456989288330078,,,0.0,,0.0,,0.0,,,24.793584515864058,,18.375728576705935,,18.705868087331943,,,24.315866138466685,,18.311777736719947,,18.352497262849887,,,24.726702412253598,,18.322585676069608,,18.705868087331943,,,0.0,,0.0,,0.0,,,11700,,5100,,38000,,
2020-03-06,0.0,,0.0,,0.0,,,24.007261276245117,,18.31627655029297,,18.077030181884766,,,0.0,,0.0,,0.0,,,24.057898945607644,,18.34780356523308,,18.15872214507573,,,23.503745673809938,,18.31627655029297,,17.825299426697963,,,23.80948515861542,,18.33429149654451,,17.858546577260288,,,0.0,,0.0,,0.0,,,18000,,2300,,26300,,
2020-03-09,0.0,,0.0,,0.0,,,22.080141067504883,,18.059572219848633,,17.111915588378906,,,0.0,,0.0,,0.0,,,22.79671853887072,,18.230710798262184,,17.744564754974046,,,21.783954400581134,,18.059572219848633,,15.09427919926349,,,22.175683272473066,,18.230710798262184,,16.62365514662253,,,0.0,,0.0,,0.0,,,14700,,37000,,27300,,
2020-03-10,0.0,,0.0,,0.0,,,23.029848098754883,,18.059572219848633,,17.66665267944336,,,0.0,,0.0,,0.0,,,23.07379773843641,,18.077587168734286,,17.71604867735445,,,21.975045812292016,,17.987514142306097,,17.260086455944133,,,22.84449313125114,,18.059572219848633,,17.260086455944133,,,0.0,,0.0,,0.0,,,56200,,18800,,55700,,
2020-03-11,0.0,,0.0,,0.0,,,22.02281951904297,,17.987524032592773,,17.10810089111328,,,0.0,,0.0,,0.0,,,22.500537962600095,,18.077597108546875,,17.50706833076879,,,21.96549381607446,,17.972211489420506,,16.827873739309616,,,22.500537962600095,,18.077597108546875,,17.50706833076879,,,0.0,,0.0,,0.0,,,14900,,21600,,24800,,
2020-03-12,0.0,,0.0,,0.0,,,19.968631744384766,,17.81187629699707,,15.540730476379395,,,0.0,,0.0,,0.0,,,21.019612746163197,,17.816380894131825,,16.57614599952202,,,19.95907715627253,,17.65605022174286,,15.540730476379395,,,20.771198922299106,,17.699285420634254,,15.939697942286031,,,0.0,,0.0,,0.0,,,23500,,5500,,23200,,
2020-03-13,0.0,,0.0,,0.0,,,21.470577239990234,,17.80286407470703,,16.533403396606445,,,0.0,,0.0,,0.0,,,21.61198258051011,,17.80286407470703,,16.62364539075331,,,19.96863001458899,,17.80286407470703,,15.604378491135698,,,21.06738203939713,,17.80286407470703,,16.62364539075331,,,0.0,,0.0,,0.0,,,50500,,100,,41900,,
2020-03-16,0.0,,0.0,,0.0,,,19.254911422729492,,17.793855667114258,,14.913785934448242,,,0.0,,0.0,,0.0,,,20.595388698533043,,17.8073677362069,,17.032113987554215,,,19.254911422729492,,17.71729472025545,,14.913785934448242,,,20.31257995007649,,17.71729472025545,,15.417244702529402,,,0.0,,0.0,,0.0,,,33800,,42500,,40600,,
